Year,State,Total Salary - Per Pupil Percent Change,Total Benefits - Per Pupil Percent Change,Total Salary,Total Benefits
2004,Mississippi,0.09204572366508956,0.11099626898820358,0.09204572366508956,0.11099626898820358
2005,Mississippi,0.12406960561207447,0.19565301415028014,0.12406960561207447,0.19565301415028014
2006,Mississippi,0.15015011289488456,0.27503040401398926,0.15015011289488456,0.27503040401398926
2007,Mississippi,0.1511208136523956,0.3450487603411896,0.1511208136523956,0.3450487603411896
2008,Mississippi,0.17230470263641484,0.39493596310908075,0.17230470263641484,0.39493596310908075
2009,Mississippi,0.18389200094923597,0.40501484486053285,0.18389200094923597,0.40501484486053285
2010,Mississippi,0.18842646948083153,0.39860305825035436,0.18842646948083153,0.39860305825035436
2011,Mississippi,0.1142256718369179,0.3136764141449797,0.1142256718369179,0.3136764141449797
2012,Mississippi,0.1209197690758923,0.30254501487657803,0.1209197690758923,0.30254501487657803
2013,Mississippi,0.079161752031909,0.34784380700490636,0.079161752031909,0.34784380700490636
2014,Mississippi,0.0616750336487053,0.38210122525485457,0.0616750336487053,0.38210122525485457
2015,Mississippi,0.09528599124461423,0.41041830304118965,0.09528599124461423,0.41041830304118965
2016,Mississippi,0.12550593300078217,0.441390965244556,0.12550593300078217,0.441390965244556
2017,Mississippi,0.1139440587400482,0.42722090299601545,0.1139440587400482,0.42722090299601545
2018,Mississippi,0.10462328415811117,0.4072284882279724,0.10462328415811117,0.4072284882279724
2019,Mississippi,0.11794521066306385,0.42686431968679606,0.11794521066306385,0.42686431968679606
2020,Mississippi,0.15460492681830118,0.5360452547378984,0.15460492681830118,0.5360452547378984
2003,Missouri,0.006706452353145265,0.053735738892470186,0.006706452353145265,0.053735738892470186
2004,Missouri,-0.011695832788828242,0.06671917636149494,-0.011695832788828242,0.06671917636149494
2005,Missouri,-0.001391589962669637,0.12394834610058059,-0.001391589962669637,0.12394834610058059
2006,Missouri,-8.743761623578594e-4,0.1541089652536347,-8.743761623578594e-4,0.1541089652536347
2007,Missouri,0.01822156060833624,0.18147533949635575,0.01822156060833624,0.18147533949635575
2008,Missouri,0.051500565288775224,0.29163953659855557,0.051500565288775224,0.29163953659855557
2009,Missouri,0.07414696813398991,0.3649202563324465,0.07414696813398991,0.3649202563324465
2010,Missouri,0.07336896834717077,0.40289212485841186,0.07336896834717077,0.40289212485841186
2011,Missouri,0.021488635059144112,0.3775708091377843,0.021488635059144112,0.3775708091377843
2012,Missouri,-0.009220031696007602,0.3426891236288756,-0.009220031696007602,0.3426891236288756
2013,Missouri,-0.012190406877217619,0.35519224957921014,-0.012190406877217619,0.35519224957921014
2014,Missouri,-0.0026968242262638276,0.38363727662898284,-0.0026968242262638276,0.38363727662898284
2015,Missouri,0.01216692343854775,0.4249831058563409,0.01216692343854775,0.4249831058563409
2016,Missouri,0.023724487623052903,0.4569224988660645,0.023724487623052903,0.4569224988660645
2017,Missouri,0.03202143696885784,0.4766890100263448,0.03202143696885784,0.4766890100263448
2018,Missouri,0.02752778266926592,0.4886159845993059,0.02752778266926592,0.4886159845993059
2019,Missouri,0.022057639014036345,0.5109904965518159,0.022057639014036345,0.5109904965518159
2020,Missouri,0.03636460737186287,0.5387987903738833,0.03636460737186287,0.5387987903738833
2003,Montana,0.028196398530534683,0.06203709056535711,0.028196398530534683,0.06203709056535711
2004,Montana,0.045518878546854324,0.08160588097997912,0.045518878546854324,0.08160588097997912
2005,Montana,0.05639663604914458,0.10802455948155032,0.05639663604914458,0.10802455948155032
2006,Montana,0.06996178850166013,0.14103008631725844,0.06996178850166013,0.14103008631725844
2007,Montana,0.09923703390262006,0.18732391365534196,0.09923703390262006,0.18732391365534196
2008,Montana,0.12881848351327174,0.20521098957877348,0.12881848351327174,0.20521098957877348
2009,Montana,0.15433008763672862,0.23965651746379923,0.15433008763672862,0.23965651746379923
2010,Montana,0.1903962232320886,0.30645461503152305,0.1903962232320886,0.30645461503152305
2011,Montana,0.18393424984620843,0.31912230963919797,0.18393424984620843,0.31912230963919797
2012,Montana,0.13351750058635914,0.254473028050868,0.13351750058635914,0.254473028050868
2013,Montana,0.12949372780869894,0.2670850045154285,0.12949372780869894,0.2670850045154285
2014,Montana,0.1233552728109033,0.3038126997702457,0.1233552728109033,0.3038126997702457
2015,Montana,0.14320845046126207,0.2922755519705882,0.14320845046126207,0.2922755519705882
2016,Montana,0.16641771185993548,0.3227847212721382,0.16641771185993548,0.3227847212721382
2017,Montana,0.15912503370049547,0.33560223180952065,0.15912503370049547,0.33560223180952065
2018,Montana,0.16064137640588272,0.32896257222369996,0.16064137640588272,0.32896257222369996
2019,Montana,0.1636751590012382,0.34294525010707466,0.1636751590012382,0.34294525010707466
2020,Montana,0.1723958589610035,0.34279446124915824,0.1723958589610035,0.34279446124915824
2003,Nebraska,0.014510773421470224,0.06846508694940989,0.014510773421470224,0.06846508694940989
2004,Nebraska,0.0199294176897431,0.0921723538210435,0.0199294176897431,0.0921723538210435
2005,Nebraska,0.0019838666767426627,0.12443134413624146,0.0019838666767426627,0.12443134413624146
2006,Nebraska,0.0074208111634306295,0.18543603950835608,0.0074208111634306295,0.18543603950835608
2007,Nebraska,0.04060901565949693,0.15397334569681753,0.04060901565949693,0.15397334569681753
2008,Nebraska,0.042614551055132566,0.21736201843682235,0.042614551055132566,0.21736201843682235
2009,Nebraska,0.07716104468114793,0.24899260118456423,0.07716104468114793,0.24899260118456423
2010,Nebraska,0.13537420058713323,0.35309053621598063,0.13537420058713323,0.35309053621598063
2011,Nebraska,0.07322918154382951,0.3277049861720711,0.07322918154382951,0.3277049861720711
2012,Nebraska,0.13184996905699364,0.3398857258140384,0.13184996905699364,0.3398857258140384
2013,Nebraska,0.12854930626853078,0.40902338623914214,0.12854930626853078,0.40902338623914214
2014,Nebraska,0.12247784678680307,0.40227988442116147,0.12247784678680307,0.40227988442116147
2015,Nebraska,0.1329288471655563,0.42576427790673543,0.1329288471655563,0.42576427790673543
2016,Nebraska,0.15275043561456547,0.4771949043307291,0.15275043561456547,0.4771949043307291
2017,Nebraska,0.15684030907203095,0.5194640674720716,0.15684030907203095,0.5194640674720716
2018,Nebraska,0.1454922353883552,0.5460814654122974,0.1454922353883552,0.5460814654122974
2019,Nebraska,0.14119613951182064,0.5504662484923675,0.14119613951182064,0.5504662484923675
2020,Nebraska,0.140974270451504,0.5701520134236346,0.140974270451504,0.5701520134236346
2003,Nevada,-0.030636794435023984,0.026655374362043682,-0.030636794435023984,0.026655374362043682
2004,Nevada,-0.03569221243026721,0.10097586441960682,-0.03569221243026721,0.10097586441960682
2005,Nevada,-0.03374879608835435,0.16054077380024756,-0.03374879608835435,0.16054077380024756
2006,Nevada,-0.01216121898020106,0.16590576564096216,-0.01216121898020106,0.16590576564096216
2007,Nevada,0.05730763909808223,0.24913496736364427,0.05730763909808223,0.24913496736364427
2008,Nevada,0.07770509346255006,0.343043815142255,0.07770509346255006,0.343043815142255
2009,Nevada,0.08313940921553109,0.41580440331083324,0.08313940921553109,0.41580440331083324
2010,Nevada,0.09093726099221255,0.395238944898741,0.09093726099221255,0.395238944898741
2011,Nevada,0.05932444566842521,0.39435620851439945,0.05932444566842521,0.39435620851439945
2012,Nevada,-0.011936570203549324,0.37340084805018026,-0.011936570203549324,0.37340084805018026
2013,Nevada,-0.02665723868350034,0.3475333884246983,-0.02665723868350034,0.3475333884246983
2014,Nevada,-0.031639522163563916,0.36142522040003455,-0.031639522163563916,0.36142522040003455
2015,Nevada,-0.01553799485224494,0.36736179304866146,-0.01553799485224494,0.36736179304866146
2016,Nevada,0.0122008390715862,0.4703839677171062,0.0122008390715862,0.4703839677171062
2017,Nevada,0.03321396525412834,0.4968337375528753,0.03321396525412834,0.4968337375528753
2018,Nevada,0.006065432429425366,0.46589322826993484,0.006065432429425366,0.46589322826993484
2019,Nevada,-0.011698454823585669,0.4433705059253268,-0.011698454823585669,0.4433705059253268
2020,Nevada,0.013093283193235772,0.5326227016823675,0.013093283193235772,0.5326227016823675
2003,New Hampshire,0.04477107144571546,0.09335902166340215,0.04477107144571546,0.09335902166340215
2004,New Hampshire,0.0776892276197163,0.21448433105256037,0.0776892276197163,0.21448433105256037
